time_us,detValue
1710010,3.057600
1711010,2.984100
1713010,3.106600
1714010,3.194800
1716010,2.974300
1717010,2.925300
1719010,3.052700
1720010,2.856700
1722010,3.038000
1724010,3.038000
1725010,3.013500
1727010,3.091900
1728010,3.126200
1730010,3.175200
1731010,3.253600
1733010,3.091900
1734010,3.170300
1736010,2.871400
1737010,3.042900
1739010,2.998800
1740010,2.881200
1742010,2.910600
1744010,2.940000
1745010,2.984100
1747010,3.238900
1748011,3.219300
1750010,2.930200
1751010,2.881200
1753010,2.891000
1754010,2.842000
1756010,3.091900
1757010,2.959600
1759010,3.008600
1761010,3.087000
1762010,3.091900
1764010,3.199700
1765010,3.165400
1767010,3.096800
1768010,3.008600
1770010,3.038000
1771010,3.018400
1773010,3.087000
1774010,2.969400
1776014,2.925300
1778010,2.592100
1779010,2.587200
1781010,2.704800
1782010,2.670500
1784010,2.744000
1785010,2.695000
1787010,2.665600
1788010,2.699900
1790010,2.587200
1791010,2.562700
1793010,2.866500
1794010,2.675400
1796010,2.655800
1798010,2.739100
1799010,2.758700
1801010,2.832200
1802011,2.778300
1804010,2.748900
1805010,2.660700
1807010,2.734200
1808010,2.714600
1810010,2.827300
1811010,2.704800
1813010,2.641100
1815010,2.842000
1816010,2.861600
1818010,2.802800
1819010,2.660700
1821010,2.606800
1822010,2.611700
1824010,2.802800
1825010,2.557800
1827010,2.650900
1828010,2.851800
1830010,2.719500
1832010,2.895900
1833010,2.886100
1835010,2.758700
1836010,2.768500
1838010,2.793000
1839010,2.690100
1841010,2.709700
1842010,2.587200
1844010,2.763600
1845010,2.592100
1847010,2.905700
1848010,2.788100
1850010,2.611700
1852010,2.543100
1853010,2.675400
1855010,2.680300
1856011,2.837100
1858010,2.690100
1859010,2.783200
1861010,2.763600
1862010,2.739100
1864010,2.714600
1865010,2.861600
1867010,2.611700
1869010,2.538200
1870010,2.552900
1872010,2.793000
1873010,2.675400
1875010,2.822400
1876010,2.611700
1878010,2.646000
1879010,2.631300
1881010,2.959600
1882010,2.891000
1884010,2.871400
1886010,2.601900
1887010,2.508800
1889010,2.626400
1890010,2.793000
1892010,2.773400
1893010,2.837100
1895010,2.611700
1896010,2.646000
1898010,2.660700
1899010,2.734200
1901010,2.572500
1902010,2.758700
1904010,2.753800
1906010,2.817500
1907010,2.817500
1909010,2.567600
1910011,2.822400
1912010,2.758700
1913010,2.886100
1915010,2.881200
1916010,2.753800
1918010,2.797900
1919010,2.763600
1921010,2.572500
1923010,2.753800
1924010,2.597000
1926010,2.832200
1927010,2.685200
1929010,2.699900
1930013,2.895900
1932010,3.116400
1933010,3.189900
1935010,2.993900
